uc1_fin_billing_globex	acceptance	1	UC1_FIN_BILLING_GLOBEX	FIN_BILLING_GLOBEX		FIN_BILLING_GLOBEX		FIN	BILLING	GLOBEX	d7fba138-828c-4bf6-a449-78f544075f00	2e6a694f-0051-4d3c-af88-6e22b8d1d63b	c4b418f2-e547-4a0e-ac94-e18e4c468d83	9d325287-1f34-4cd6-bda9-94585abbc629	APP_CFT_PESIT_PUSH_ST_HYBRID_PUSH_PARTNER	scan	out	sftp.globex.example	198.51.100.10;198.51.100.11;198.51.100.12;198.51.100.13	dns	22	scan:8 13 19	55	0.04	95158	2461215	2461282	PWD	whale	
uc1_fin_ledger_globex	acceptance	1	UC1_FIN_LEDGER_GLOBEX	FIN_LEDGER_GLOBEX		FIN_LEDGER_GLOBEX		FIN	LEDGER	GLOBEX	01b0cfdc-93bb-4db9-818e-3b8a13ab5bdf	8df21a01-4c18-4ee8-b6cf-54b972ea8b24	0a59994c-89d2-453e-88bc-96e089db8a9c	dfc12ce2-dec0-439d-a8d6-81e5ef9d486c	APP_CFT_PESIT_PUSH_ST_HYBRID_PUSH_PARTNER	scan	out	sftp.globex.example	198.51.100.10;198.51.100.11;198.51.100.12;198.51.100.13	dns	22	scan:7 13 18	4	0.03	357703	2461215	2461282	PWD	twinb	
uc1_fin_billing_globexx	acceptance	1	UC1_FIN_BILLING_GLOBEXX	FIN_BILLING_GLOBEXX		FIN_BILLING_GLOBEXX		FIN	BILLING	GLOBEXX	c5f2a083-2e3f-4653-899d-3925b53e2dde	72e13c4b-8bf5-496d-a44f-fb5b16b36265	07469b3f-45d5-4a54-b913-2fdc34cf2e5a	830e430f-9782-40bf-b1ce-f7b30c574494	APP_CFT_PESIT_PUSH_ST_HYBRID_PUSH_PARTNER	scan	out	sftp.globex.example	198.51.100.10;198.51.100.11;198.51.100.12;198.51.100.13	dns	22	scan:9 14 17	1	0.05	142856	2461215	2461282	PWD		
uc1_cd_printmgmt_wonka	acceptance	1	UC1_CD_PRINTMGMT_WONKA	CD_PRINTMGMT_WONKA		CD_PRINTMGMT_WONKA		CD	PRINTMGMT	WONKA	2a2b7d11-1b0c-4d2d-bb6a-2cf88f6cfc48	047060fd-bb13-4e60-b6bd-8751f93d5008	4436432e-8345-4566-b92a-2a0e23295f0a	9456b5f5-f98f-4234-82cc-7032f33bd99a	APP_CFT_PESIT_PUSH_ST_HYBRID_PUSH_PARTNER	scan	out	sftp.wonka.example	198.51.100.80;198.51.100.81;198.51.100.82;198.51.100.83	dns	22	scan:8 11 19	12	0.06	278571	2461215	2461282	PWD		
uc1_cd_cosmos_wonka	acceptance	1	UC1_CD_COSMOS_WONKA	CD_COSMOS_WONKA		CD_COSMOS_WONKA		CD	COSMOS	WONKA	5612e387-e868-40f6-b61c-ff47c838d8ea	150d3273-5bcc-4d0f-9f7a-829e8399efa6	88497e3e-3bf5-4552-9f57-74f85d3abfdb	446f1162-5593-42c0-acc3-e42a81ffa04e	APP_CFT_PESIT_PUSH_ST_HYBRID_PUSH_PARTNER	scan	out	sftp.wonka.example	198.51.100.80;198.51.100.81;198.51.100.82;198.51.100.83	dns	22	scan:9 12 17	26	0.03	171903	2461215	2461282	PWD	rename=UC1_CD_COSMOS_WONKA_CD_COSMOS_WONKA	
uc1_it_archive_initech	acceptance	1	UC1_IT_ARCHIVE_INITECH	IT_ARCHIVE_INITECH		IT_ARCHIVE_INITECH		IT	ARCHIVE	INITECH	01978a38-74ec-4438-b7fa-c7519d908852	c5ff158b-7fd5-4b0a-867c-4897c5fac4f9	baba102a-4d8b-4e71-bd7a-a4b315b4df79	217c86f7-cb6e-4af7-9043-7d584d1b4a51	APP_CFT_PESIT_PUSH_ST_HYBRID_PUSH_PARTNER	scan	out	files.initech.example	198.51.100.20;198.51.100.21;198.51.100.22	dns	22	scan:6 14 17	5	0.04	50730	2461215	2461282	PWD		
uc1_hr_payroll_initech	acceptance	1	UC1_HR_PAYROLL_INITECH	HR_PAYROLL_INITECH		HR_PAYROLL_INITECH		HR	PAYROLL	INITECH	e9e0a6cc-ad02-4975-a252-24c0db2ff898	f27a409e-77a0-4c10-93df-357a14db4003	a1bec6ea-3f04-42f0-867b-93620946ecd7	300862f3-408e-4431-8ec8-99ec85329e22	APP_CFT_PESIT_PUSH_ST_HYBRID_PUSH_PARTNER	scan	out	files.initech.example	198.51.100.20;198.51.100.21;198.51.100.22	dns	22	scan:7 13 20	4	0.05	390896	2461215	2461282	PWD	avblock	
uc1_ab_claims_umbrella	acceptance	1	UC1_AB_CLAIMS_UMBRELLA	AB_CLAIMS_UMBRELLA		AB_CLAIMS_UMBRELLA		AB	CLAIMS	UMBRELLA	f180208f-b46a-4a2e-b681-9e7bc56f0de1	663a7d3c-1c3b-4732-b5ee-863cfa332f63	4d28a89c-bcff-4409-aa3b-33491c801b20	924d18ac-ec0a-4b47-8f42-13b08c99a9af	APP_CFT_PESIT_PUSH_ST_HYBRID_PUSH_PARTNER	scan	out	mft.umbrella.example	198.51.100.30;198.51.100.31;198.51.100.32;198.51.100.33	dns	22	scan:8 12 18	5	0.04	57735	2461215	2461282	PWD	skipbait	
uc1_ab_polis_umbrella	acceptance	1	UC1_AB_POLIS_UMBRELLA	AB_POLIS_UMBRELLA		AB_POLIS_UMBRELLA		AB	POLIS	UMBRELLA	c4db31d0-5218-4ca4-92ce-52da887f6fb4	9de7d6f8-53c0-47ce-b7ff-b9fa074aa033	8b25376a-473e-45e6-a945-9850c3903e19	eb3b80e8-07e4-440e-a509-e3d8adfa3718	APP_CFT_PESIT_PUSH_ST_HYBRID_PUSH_PARTNER	scan	out	mft.umbrella.example	198.51.100.30;198.51.100.31;198.51.100.32;198.51.100.33	dns	22	scan:7 14 19	1.5	0.03	386306	2461215	2461282	PWD		
uc1_zg_pension_hooli	acceptance	1	UC1_ZG_PENSION_HOOLI	ZG_PENSION_HOOLI		ZG_PENSION_HOOLI		ZG	PENSION	HOOLI	f3bb7a9a-52eb-4ee3-b830-15e6dc937555	4fc51271-d8b2-4b5a-9c99-be70e52a375a	094f3ae2-e1ea-4ea2-8ca4-d34be27708c7	6a5f9f68-8034-4dbe-92e4-8f831f669c2c	APP_CFT_PESIT_PUSH_ST_HYBRID_PUSH_PARTNER	scan	out	transfer.hooli.example	198.51.100.40;198.51.100.41	dns	22	scan:6 14 17	4	0.04	180752	2461215	2461282	PWD		
