Time, Level, Component, Thread, Message, Filename, Class, Method, Line, Account or Login, Stack Trace, Activity, Transferred File, Client Hostname, Edge Hostname, Server Hostname, Node Name, Session ID, Session Start Time, Transfer ID
"08/11/2026 23:52:24.880","INFO","TM","requestExecutor811218","Created session information with id 50385958596e374a447936515270665867345842367257363762325a6f6d3149417878426d4757714b37383d.","BaseConfigAgent.java","com.tumbleweed.st.server.tm.agents.BaseConfigAgent","logAuthResultMessage","520","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","192.0.2.76","50385958596e374a447936515270665867345842367257363762325a6f6d3149417878426d4757714b37383d","08/11/2026 23:51:31.939","UNKNOWN"
"08/11/2026 23:52:07.817","INFO","TM","requestExecutor856029","Applying the search pattern '*' for transfer site 'UC3_ODV_MERLIJN_SABRE_I_ODV_MERLIJN_SABRE_I_SCP_ODV_MERLIJN_SABRE_I_PWD': 0 file(s) were found of which 0 matched the pattern.","BaseConfigAgent.java","com.tumbleweed.st.server.tm.agents.BaseConfigAgent","logAuthResultMessage","662","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","192.0.2.76","714777594245507862517156683858592f64714f33383356615655553741554d48304a576b66666b6169583d","08/11/2026 23:51:27.116","UNKNOWN"
"08/11/2026 23:52:07.130","INFO","TM","requestExecutor814498","Remote files pattern of transfer site: 'UC3_ODV_MERLIJN_SABRE_I_ODV_MERLIJN_SABRE_I_SCP_ODV_MERLIJN_SABRE_I_PWD' evaluated to: '*'","BaseConfigAgent.java","com.tumbleweed.st.server.tm.agents.BaseConfigAgent","logAuthResultMessage","626","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","192.0.2.76","714777594245507862517156683858592f64714f33383356615655553741554d48304a576b66666b6169583d","08/11/2026 23:51:50.067","UNKNOWN"
"08/11/2026 23:50:16.623","INFO","TM","requestExecutor862047","Applying the search pattern '*' for transfer site 'UC3_AB_NAS_GLOBEX_AB_NAS_GLOBEX_SCP_AB_NAS_GLOBEX_PWD': 0 file(s) were found of which 0 matched the pattern.","BaseConfigAgent.java","com.tumbleweed.st.server.tm.agents.BaseConfigAgent","logAuthResultMessage","465","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","192.0.2.76","707a793743557072626c4437336c54522f39386c332f70364b5338413538554b344f464b54454c757a667a3d","08/11/2026 23:49:25.284","UNKNOWN"
"08/11/2026 23:50:16.186","INFO","TM","requestExecutor844609","Remote files pattern of transfer site: 'UC3_AB_NAS_GLOBEX_AB_NAS_GLOBEX_SCP_AB_NAS_GLOBEX_PWD' evaluated to: '*'","BaseConfigAgent.java","com.tumbleweed.st.server.tm.agents.BaseConfigAgent","logAuthResultMessage","551","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","192.0.2.76","707a793743557072626c4437336c54522f39386c332f70364b5338413538554b344f464b54454c757a667a3d","08/11/2026 23:50:07.997","UNKNOWN"
"08/11/2026 23:50:12.297","INFO","TM","requestExecutor818252","Applying the search pattern '*' for transfer site 'UC3_CDV_STREAM_DUFF_I_CDV_STREAM_DUFF_I_SCP_CDV_STREAM_DUFF_I_PWD': 0 file(s) were found of which 0 matched the pattern.","BaseConfigAgent.java","com.tumbleweed.st.server.tm.agents.BaseConfigAgent","logAuthResultMessage","620","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","192.0.2.76","465430636a71537836644d3667444c6c424776534a38304e4b76582b6f55626538764563314156645375663d","08/11/2026 23:49:59.228","UNKNOWN"
"08/11/2026 23:50:12.035","INFO","TM","requestExecutor818557","Applying the search pattern '*' for transfer site 'UC3_FIN_FACTS_MASSIVE_FIN_FACTS_MASSIVE_SCP_FIN_FACTS_MASSIVE_PWD': 0 file(s) were found of which 0 matched the pattern.","BaseConfigAgent.java","com.tumbleweed.st.server.tm.agents.BaseConfigAgent","logAuthResultMessage","305","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","192.0.2.76","4e5a58754b56784f746f4770666756463756703463584c644137654f4c5a6674703275444d74536477754d3d","08/11/2026 23:49:43.467","UNKNOWN"
"08/11/2026 23:50:11.953","INFO","TM","requestExecutor896891","Remote files pattern of transfer site: 'UC3_CDV_STREAM_DUFF_I_CDV_STREAM_DUFF_I_SCP_CDV_STREAM_DUFF_I_PWD' evaluated to: '*'","BaseConfigAgent.java","com.tumbleweed.st.server.tm.agents.BaseConfigAgent","logAuthResultMessage","565","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","192.0.2.76","465430636a71537836644d3667444c6c424776534a38304e4b76582b6f55626538764563314156645375663d","08/11/2026 23:49:29.398","UNKNOWN"
"08/11/2026 23:50:11.511","INFO","TM","requestExecutor823539","Remote files pattern of transfer site: 'UC3_FIN_FACTS_MASSIVE_FIN_FACTS_MASSIVE_SCP_FIN_FACTS_MASSIVE_PWD' evaluated to: '*'","BaseConfigAgent.java","com.tumbleweed.st.server.tm.agents.BaseConfigAgent","logAuthResultMessage","433","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","192.0.2.76","4e5a58754b56784f746f4770666756463756703463584c644137654f4c5a6674703275444d74536477754d3d","08/11/2026 23:49:47.831","UNKNOWN"
"08/11/2026 23:50:08.954","INFO","TM","requestExecutor820846","Applying the search pattern '*' for transfer site 'UC3_ODV_MERLIJN_SABRE_D_ODV_MERLIJN_SABRE_D_SCP_ODV_MERLIJN_SABRE_D_PWD': 0 file(s) were found of which 0 matched the pattern.","BaseConfigAgent.java","com.tumbleweed.st.server.tm.agents.BaseConfigAgent","logAuthResultMessage","611","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","192.0.2.76","4b2f312b705131684a7254333861365a6559335770542b3441714c46507534666d7a696f74594d6c78654b3d","08/11/2026 23:49:22.926","UNKNOWN"
